layer,session,check,animal,n
2D,251023,identity_swap,Elm,353
2D,251023,identity_swap,Jok,249
3D,251023,bone_length,Elm,2798
3D,251023,bone_length,Jok,1067
3D,251023,bone_symmetry,Elm,1104
3D,251023,bone_symmetry,Jok,615
3D,251023,keypoint_velocity,Elm,5457
3D,251023,keypoint_velocity,Jok,3073
3D,251023,out_of_room,Elm,2361
3D,251023,out_of_room,Jok,3749
