animal,n_frames,x_med_cm,y_med_cm,z_med_cm,z_p25_cm,z_p75_cm,z_min_cm,z_max_cm
Elm,65048,173.92602385683318,204.4430060958889,34.99831637697558,21.58545500233517,134.2332343523367,-29.705156712901402,346.0016921931765
Jok,63340,105.58251290607717,197.39882494558373,211.51806152794896,45.37004936303125,229.01523259226298,-15.469152954168676,300.3176346705784
